"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.082725001E-2,1.290946810E-1,-2.592778212E-1,-2.692701280E-2,2.908874168E-1
2.075724999E-2,1.335902397E-1,-2.588942438E-1,2.707816333E-1,3.977376956E-1
3.068724999E-2,2.569405429E-1,-1.253222036E-1,5.860395277E-1,6.520478704E-1
4.061724999E-2,4.934335189E-1,4.939786255E-2,1.117556108E0,1.222639948E0
5.054825000E-2,6.814698878E-1,4.151224905E-1,1.599181906E0,1.787207503E0
6.047825000E-2,8.309747136E-1,8.763567084E-1,1.544894017E0,1.960922635E0
7.040825000E-2,9.326430295E-1,1.068259403E0,1.203586192E0,1.860005617E0
8.033825000E-2,9.150046112E-1,9.406357348E-1,1.029971250E0,1.668193574E0
9.026825000E-2,5.832590304E-1,6.650003278E-1,2.661453760E-1,9.237152666E-1
1.001992500E-1,3.512855136E-1,5.445447618E-1,-6.670661491E-1,9.300041704E-1
1.101292500E-1,2.712774406E-1,5.464474458E-1,-1.219756667E0,1.363819118E0
1.200592500E-1,1.620518908E-1,4.507659477E-1,-1.210146183E0,1.301500880E0
1.299892500E-1,7.080188781E-2,2.719002056E-1,-9.966754496E-1,1.035521405E0
1.399202500E-1,7.564367473E-2,7.858716309E-2,-8.126723439E-1,8.199599052E-1
1.498502500E-1,-1.238978219E-1,-1.877985334E-1,-6.118070376E-1,6.518641045E-1
1.597800417E-1,-2.710090899E-1,-2.950773990E-1,-4.297908157E-1,5.875685011E-1
1.697100417E-1,-2.653194568E-1,-3.454184175E-1,-2.635047734E-1,5.090609618E-1
1.796400417E-1,-2.217158926E-1,-3.343636715E-1,-2.218948174E-1,4.584695321E-1
1.895710417E-1,3.385912085E-1,-5.365112722E-2,-1.077355331E-1,3.593457875E-1
1.995010417E-1,2.574657508E-1,1.899608338E-1,-1.548149747E-1,3.554453651E-1
2.094310417E-1,3.269375615E-1,2.423068625E-1,-1.454261005E-2,4.072005307E-1
2.193610417E-1,2.862578975E-1,3.742177087E-1,-1.833850551E-1,5.055814037E-1
2.292920417E-1,1.194681175E-1,4.272911310E-1,-4.411554641E-1,6.256744243E-1
2.392220417E-1,7.803397081E-3,2.894705039E-1,-4.549806207E-1,5.393157061E-1
2.491520417E-1,-3.492980450E-3,-1.342672741E-1,-7.850647151E-2,1.555736735E-1
2.590820417E-1,-1.013129514E-1,-5.141064960E-1,2.886226577E-1,5.982247419E-1
2.690130417E-1,-2.859275298E-1,-6.712907624E-1,2.159014213E-1,7.609200114E-1
2.789430417E-1,-4.312437026E-1,-5.731855935E-1,-7.500691295E-2,7.212065534E-1
2.888730417E-1,-4.575590967E-1,-4.110037118E-1,-3.630881184E-1,7.142250064E-1
2.988030417E-1,-5.123083310E-1,-3.093557149E-1,-6.075175202E-1,8.527826931E-1
